Tr C(WL),Tr C(LEVEL)[LINEAR]
1305.4,4.69E-04
1305.6,4.68E-04
1305.8,4.67E-04
1306,4.67E-04
1306.2,4.66E-04
1306.4,4.64E-04
1306.6,4.64E-04
1306.8,4.64E-04
1307,4.62E-04
1307.2,4.62E-04
1307.4,4.61E-04
1307.6,4.61E-04
1307.8,4.60E-04
1308,4.59E-04
1308.2,4.59E-04
1308.4,4.58E-04
1308.6,4.57E-04
1308.8,4.56E-04
1309,4.55E-04
1309.2,4.54E-04
1309.4,4.53E-04
1309.6,4.52E-04
1309.8,4.51E-04
1310,4.50E-04
1310.2,4.50E-04
1310.4,4.50E-04
1310.6,4.48E-04
1310.8,4.48E-04
1311,4.48E-04
1311.2,4.47E-04
1311.4,4.46E-04
1311.6,4.46E-04
1311.8,4.44E-04
1312,4.44E-04
1312.2,4.43E-04
1312.4,4.43E-04
1312.6,4.42E-04
1312.8,4.42E-04
1313,4.42E-04
1313.2,4.41E-04
1313.4,4.41E-04
1313.6,4.40E-04
1313.8,4.40E-04
1314,4.40E-04
1314.2,4.40E-04
1314.4,4.40E-04
1314.6,4.38E-04
1314.8,4.38E-04
1315,4.37E-04
1315.2,4.37E-04
1315.4,4.36E-04
1315.6,4.36E-04
1315.8,4.37E-04
1316,4.37E-04
1316.2,4.36E-04
1316.4,4.36E-04
1316.6,4.36E-04
1316.8,4.35E-04
1317,4.35E-04
1317.2,4.35E-04
1317.4,4.35E-04
1317.6,4.35E-04
1317.8,4.34E-04
1318,4.34E-04
1318.2,4.35E-04
1318.4,4.34E-04
1318.6,4.34E-04
1318.8,4.34E-04
1319,4.34E-04
1319.2,4.34E-04
1319.4,4.35E-04
1319.6,4.35E-04
1319.8,4.35E-04
1320,4.36E-04
1320.2,4.36E-04
1320.4,4.36E-04
1320.6,4.36E-04
1320.8,4.36E-04
1321,4.36E-04
1321.2,4.37E-04
1321.4,4.37E-04
1321.6,4.37E-04
1321.8,4.37E-04
1322,4.37E-04
1322.2,4.38E-04
1322.4,4.38E-04
1322.6,4.39E-04
1322.8,4.40E-04
1323,4.40E-04
1323.2,4.40E-04
1323.4,4.40E-04
1323.6,4.40E-04
1323.8,4.40E-04
1324,4.40E-04
1324.2,4.40E-04
1324.4,4.40E-04
1324.6,4.41E-04
1324.8,4.42E-04
1325,4.43E-04
1325.2,4.43E-04
1325.4,4.44E-04
1325.6,4.44E-04
1325.8,4.44E-04
1326,4.45E-04
1326.2,4.45E-04
1326.4,4.45E-04
1326.6,4.46E-04
1326.8,4.46E-04
1327,4.46E-04
1327.2,4.46E-04
1327.4,4.46E-04
1327.6,4.47E-04
1327.8,4.47E-04
1328,4.48E-04
1328.2,4.49E-04
1328.4,4.50E-04
1328.6,4.50E-04
1328.8,4.50E-04
1329,4.50E-04
1329.2,4.50E-04
1329.4,4.50E-04
1329.6,4.50E-04
1329.8,4.50E-04
1330,4.49E-04
1330.2,4.49E-04
1330.4,4.48E-04
1330.6,4.49E-04
1330.8,4.50E-04
1331,4.50E-04
1331.2,4.51E-04
1331.4,4.51E-04
1331.6,4.51E-04
1331.8,4.51E-04
1332,4.51E-04
1332.2,4.51E-04
1332.4,4.50E-04
1332.6,4.50E-04
1332.8,4.50E-04
1333,4.49E-04
1333.2,4.49E-04
1333.4,4.48E-04
1333.6,4.48E-04
1333.8,4.49E-04
1334,4.49E-04
1334.2,4.49E-04
1334.4,4.49E-04
1334.6,4.49E-04
1334.8,4.49E-04
1335,4.49E-04
1335.2,4.48E-04
1335.4,4.46E-04
1335.6,4.44E-04
1335.8,4.43E-04
1336,4.42E-04
1336.2,4.41E-04
1336.4,4.41E-04
1336.6,4.41E-04
1336.8,4.41E-04
1337,4.40E-04
1337.2,4.41E-04
1337.4,4.40E-04
1337.6,4.39E-04
1337.8,4.38E-04
1338,4.38E-04
1338.2,4.36E-04
1338.4,4.35E-04
1338.6,4.33E-04
1338.8,4.32E-04
1339,4.30E-04
1339.2,4.30E-04
1339.4,4.29E-04
1339.6,4.28E-04
1339.8,4.27E-04
1340,4.27E-04
1340.2,4.27E-04
1340.4,4.27E-04
1340.6,4.26E-04
1340.8,4.25E-04
1341,4.24E-04
1341.2,4.22E-04
1341.4,4.20E-04
1341.6,4.18E-04
1341.8,4.17E-04
1342,4.15E-04
1342.2,4.14E-04
1342.4,4.13E-04
1342.6,4.12E-04
1342.8,4.12E-04
1343,4.11E-04
1343.2,4.11E-04
1343.4,4.10E-04
1343.6,4.09E-04
1343.8,4.07E-04
1344,4.05E-04
1344.2,4.02E-04
1344.4,4.00E-04
1344.6,3.98E-04
1344.8,3.96E-04
1345,3.95E-04
1345.2,3.93E-04
1345.4,3.92E-04
1345.6,3.91E-04
1345.8,3.90E-04
1346,3.88E-04
1346.2,3.87E-04
1346.4,3.87E-04
1346.6,3.86E-04
1346.8,3.85E-04
1347,3.83E-04
1347.2,3.80E-04
1347.4,3.75E-04
1347.6,3.71E-04
1347.8,3.69E-04
1348,3.65E-04
1348.2,3.62E-04
1348.4,3.62E-04
1348.6,3.63E-04
1348.8,3.62E-04
1349,3.62E-04
1349.2,3.63E-04
1349.4,3.63E-04
1349.6,3.64E-04
1349.8,3.60E-04
1350,3.56E-04
1350.2,3.54E-04
1350.4,3.51E-04
1350.6,3.50E-04
1350.8,3.48E-04
1351,3.47E-04
1351.2,3.46E-04
1351.4,3.43E-04
1351.6,3.41E-04
1351.8,3.39E-04
1352,3.33E-04
1352.2,3.34E-04
1352.4,3.37E-04
1352.6,3.33E-04
